,symbol,ticker
1072,ORIENTABRA,13111
1073,ORIENTALTL,14346
1074,ORIENTBELL,14278
1075,ORIENTCEM,30089
1076,ORIENTELEC,2972
1077,ORIENTHOT,2493
1078,ORIENTLTD,18208
1079,ORIENTPPR,2496
1080,ORIENTREF,31163
1081,ORISSAMINE,19931
1082,ORTEL,13321
1083,OSWALAGRO,2514
1084,PAEL,1668
1085,PAGEIND,14413
1086,PAISALO,25468
1087,PALASHSECU,21383
1088,PALREDTEC,17059
1089,PANACEABIO,4055
1090,PANACHE,16292
1091,PANAMAPET,25392
1092,PARACABLES,13951
1093,PARAGMILK,17130
1094,PARSVNATH,13791
1095,PATELENG,11699
1096,PATINTLOG,15219
1097,PATSPINLTD,2589
1098,PCJEWELLER,29124
1099,PDMJEPAPER,15377
1100,PDSMFL,5264
1101,PEARLPOLY,2610
1102,PEL,2412
1103,PENIND,20621
1104,PENINLAND,2256
1105,PERSISTENT,18365
1106,PETRONET,11351
1107,PFC,14299
1108,PFIZER,2643
1109,PFOCUS,13496
1110,PFS,22602
1111,PGEL,25362
1112,PGHH,2535
1113,PGHL,940
1114,PGIL,14260
1115,PHILIPCARB,2649
1116,PHOENIXLTD,14552
1117,PIDILITIND,2664
1118,PIIND,24184
1119,PILANIINVS,11445
1120,PILITA,30835
1121,PIONDIST,18992
1122,PIONEEREMB,13463
1123,PITTIENG,14134
1124,PKTEA,10318
1125,PLASTIBLEN,13920
1126,PNB,10666
1127,PNBGILTS,8736
1128,PNBHOUSING,18908
1129,PNC,9342
1130,PNCINFRA,9385
1131,PODDARHOUS,20450
